FROM_BRANCH,LORRY_ROUTE_FROM,FROM_LAT,FROM_LONG,TO_BRANCH,LORRY_ROUTE_TO,TO_LAT,TO_LONG,COUNT(*)
MUZAFFARNAGAR-UTTAR PRADESH,2212,29.4444378,77.6972861,MUZAFFARNAGAR-UTTAR PRADESH,1343,28.6778,77.3264,1
CHATTRAL-GUJARAT,317,23.2898,72.4389,CHATTRAL-GUJARAT,106,30.442379,77.602674,3
NOIDA II-UTTAR PRADESH,1311,28.590354,77.333131,NOIDA II-UTTAR PRADESH,1701,26.865057,75.680062,4
GREATER NOIDA-UTTAR PRADESH,1312,28.448128,77.530355,GREATER NOIDA-UTTAR PRADESH,302,23.012282,72.5229619,3
COIMBATORE-TAMILNADU,901,11.0746,77.1115,COIMBATORE-TAMILNADU,1010,12.9939,80.1877,1
KOLKATA-WEST BANGAL,801,22.519,88.3033,KOLKATA-WEST BANGAL,6057,20.21139,85.699441,1
RUDRAPUR-UTTRAKHAND,3301,29.01588,79.4086,RUDRAPUR-UTTRAKHAND,1314,28.674,77.1419,2
HALOL-GUJARAT,1603,22.5615,73.4569,HALOL-GUJARAT,2803,18.803941,74.311907,1
PALAM AIRPORT-DELHI,1303,28.5323,77.1102,PALAM AIRPORT-DELHI,1706,27.5377,76.6903,3
MITROL PALWAL-HARYANA,1344,28.0463739,77.3416418,MITROL PALWAL-HARYANA,329,23.510668,72.125282,1
FARIDABAD-HARYANA,1308,28.4509963,77.3193081,FARIDABAD-HARYANA,809,22.5614951,88.1767703,1
NAGLI POONA-DELHI,1329,28.781486,77.137516,NAGLI POONA-DELHI,1705,25.2553922,74.6332652,1
FARIDABAD N I T-HARYANA,1340,28.3739,77.2988,FARIDABAD N I T-HARYANA,1365,28.3962,76.993,1
KUNDLI BORDER SONIPAT-HARYANA,1309,28.862816,77.123806,KUNDLI BORDER SONIPAT-HARYANA,2205,29.9652,78.076,1
GGN HERO HONDA-HARYANA,1327,28.3962,76.993,GGN HERO HONDA-HARYANA,1315,28.6923,77.4409,4
SILVASSA-GUJARAT,1203,20.2951,72.9909,SILVASSA-GUJARAT,203,20.994679,75.588913,1
BATHINDA,1912,30.2366,74.9092,BATHINDA,2401,20.0052,73.7379,1
NALAGARH-HIMACHAL PRADESH,1107,31.04085,76.69497,NALAGARH-HIMACHAL PRADESH,803,22.6484768,88.4357884,1
CHANGODAR EXT COUNTER-GUJARAT,304,22.9811,72.4898,CHANGODAR EXT COUNTER-GUJARAT,1315,28.6923,77.4409,1
ANKLESHWAR-GUJARAT,401,21.6299448,73.0194181,ANKLESHWAR-GUJARAT,1601,17.6103329,78.5213145,1
SURENDRANAGAR-GUJARAT,314,22.7206,71.6674,SURENDRANAGAR-GUJARAT,1004,12.9633758,79.2970671,1
COCHIN-KERLA,3003,10.125558,76.3234073,COCHIN-KERLA,2104,19.4030055,72.8478575,1
VAPI-GUJARAT,1202,20.324471,72.904855,VAPI-GUJARAT,1307,28.6831148,76.9606879,2
VAPI-GUJARAT,1202,20.324471,72.904855,VAPI-GUJARAT,2701,11.945999,79.7779715,2
RAIPUR,2502,21.2570484,81.5552005,RAIPUR,1905,32.640433,74.901404,1
JAMMU-JAMMU  KASHMIR,1905,32.640433,74.901404,JAMMU-JAMMU  KASHMIR,106,30.442379,77.602674,4
RASYANI-RAIGAD,2125,18.9542,73.1682,RASYANI-RAIGAD,1309,28.862816,77.123806,4
COCHIN-KERLA,3003,10.125558,76.3234073,COCHIN-KERLA,4002,25.5784288,85.2193768,2
MUZAFFARPUR-BIHAR,4111,26.149105,85.37992,MUZAFFARPUR-BIHAR,4002,25.5784288,85.2193768,2
NAGPUR WADI,2501,21.133502,78.8936551,NAGPUR WADI,1338,28.201997,77.320682,3
KHUSKERA-RAJASTHAN,1712,28.11664,76.78661,KHUSKERA-RAJASTHAN,1003,13.2316,80.1633,1
HARIDWAR-UTTRAKHAND,2205,29.9652,78.076,HARIDWAR-UTTRAKHAND,1202,20.324471,72.904855,1
ROORKEE UTTARANCHAL-UTTRAKHAND,4003,29.921192,77.829423,ROORKEE UTTARANCHAL-UTTRAKHAND,208,19.12303,77.344629,1
GHAZIABAD-UTTAR PRADESH,1315,28.6923,77.4409,GHAZIABAD-UTTAR PRADESH,501,13.1464,77.6144,1
KASHIPUR-UTTRAKHAND,3302,29.2104,79.0084,KASHIPUR-UTTRAKHAND,1901,30.8772,75.9122,1
BHANDUP - MAHARASHTRA,2128,19.1456,72.9325,BHANDUP - MAHARASHTRA,2117,19.2924351,73.1082178,1
CUTTACK-ORRISA,4107,20.5333,85.9527,CUTTACK-ORRISA,2802,18.7004018,73.8489416,1
NEEMRANA-RAJASTHAN,1711,27.9562864,76.3639911,NEEMRANA-RAJASTHAN,1701,26.865057,75.680062,1
VARANASI-UTTAR PRADESH,1803,25.2946,82.9412,VARANASI-UTTAR PRADESH,1003,13.2316,80.1633,1
INDORE APT,3516,22.7264879,75.8191623,INDORE APT,1010,12.9939,80.1877,4
GREATER NOIDA-UTTAR PRADESH,1312,28.448128,77.530355,GREATER NOIDA-UTTAR PRADESH,106,30.442379,77.602674,1
GHAZIABAD-UTTAR PRADESH,1315,28.6923,77.4409,GHAZIABAD-UTTAR PRADESH,2202,27.217,77.9455,3
GURGAON-HARYANA,1318,28.4875,77.063,GURGAON-HARYANA,1342,28.3782,76.8352,1
KEONJHAR,4110,21.6576191,85.6367573,KEONJHAR,4110,21.6576191,85.6367573,1
RAKHANPUR-AHMEDABAD,309,23.1023,72.4769,RAKHANPUR-AHMEDABAD,503,12.8178324,77.6698024,1
NOIDA I-UTTAR PRADESH,1310,28.5463933,77.4097224,NOIDA I-UTTAR PRADESH,103,30.23361,76.85074,1
WAGHOLI - PUNE - MAHARASTRA,2801,18.5738,73.959,WAGHOLI - PUNE - MAHARASTRA,2103,19.0973,72.8456,1
DADRI-UTTAR PRADESH,1352,28.5432697,77.5631391,DADRI-UTTAR PRADESH,811,26.6561622,88.4594269,1
NALAGARH-HIMACHAL PRADESH,1107,31.04085,76.69497,NALAGARH-HIMACHAL PRADESH,1358,29.656946,76.986177,1
ANAND-GUJARAT,312,22.536222,72.928616,ANAND-GUJARAT,1706,27.5377,76.6903,15
BALLABHGARH-HARYANA,1323,28.3046774,77.3004412,BALLABHGARH-HARYANA,308,23.2627058,69.9509695,7
CHENNAI SVCHATRAM-TAMILNADU,1001,12.8975285,79.883473,CHENNAI SVCHATRAM-TAMILNADU,2502,21.2570484,81.5552005,5
PIRANGUT - PUNE - MAHARASTRA,2815,18.5123,73.6782,PIRANGUT - PUNE - MAHARASTRA,3508,22.9703,76.1229,2
TIRUNELVELI-TAMILNADU,903,8.77265,77.710253,TIRUNELVELI-TAMILNADU,501,13.1464,77.6144,2
KAPASHERA-DELHI,1305,28.5182141,77.0820394,KAPASHERA-DELHI,3501,22.8366327,75.9450594,3
TALOJA MUMBAI-MAHARASTRA,2112,19.0687,73.1369,TALOJA MUMBAI-MAHARASTRA,206,19.848931,75.868757,3
RUDRAPUR-UTTRAKHAND,3301,29.01588,79.4086,RUDRAPUR-UTTRAKHAND,811,26.6561622,88.4594269,2
BINOLA HUB-HARYANA,1328,28.3106646,76.8781538,BINOLA HUB-HARYANA,5111,28.8988,76.5487,2
BHIWADI RAJASTHAN,701,28.2091,76.8469,BHIWADI RAJASTHAN,1803,25.2946,82.9412,1
METODA-GUJARAT,322,22.2443105,70.6808706,METODA-GUJARAT,1701,26.865057,75.680062,1
RAJKOT-GUJARAT,2902,22.3265,70.8541,RAJKOT-GUJARAT,2701,11.945999,79.7779715,1
TATHWADE - PUNE - MAHARASTRA,2817,18.6275,73.7525,TATHWADE - PUNE - MAHARASTRA,2816,18.6078,73.7238,1
HAPUR U P,1363,28.722645,77.734033,HAPUR U P,808,22.5741742,88.3365316,1
GREATER NOIDA-UTTAR PRADESH,1312,28.448128,77.530355,GREATER NOIDA-UTTAR PRADESH,4206,28.3962,76.993,6
BINOLA HUB-HARYANA,1328,28.3106646,76.8781538,BINOLA HUB-HARYANA,2401,20.0052,73.7379,36
VASHI MUMBAI-MAHARASTRA,2107,19.0791,73.0114,VASHI MUMBAI-MAHARASTRA,2125,18.9542,73.1682,1
RASYANI-RAIGAD,2125,18.9542,73.1682,RASYANI-RAIGAD,2122,18.9321187,73.017467,7
PITHAMPUR-MADHYA PRADESH,2601,22.6272376,75.581131,PITHAMPUR-MADHYA PRADESH,3506,23.1980328,79.8745593,13
CHANDIGARH-PUNJAB,1101,30.696281,76.794154,CHANDIGARH-PUNJAB,1101,30.696281,76.794154,43
AMBALA HUB-HARYANA,103,30.23361,76.85074,AMBALA HUB-HARYANA,103,30.23361,76.85074,119
RUDRAPUR-UTTRAKHAND,3301,29.01588,79.4086,RUDRAPUR-UTTRAKHAND,1003,13.2316,80.1633,27
ROORKEE UTTARANCHAL-UTTRAKHAND,4003,29.921192,77.829423,ROORKEE UTTARANCHAL-UTTRAKHAND,1003,13.2316,80.1633,26
SAMPLA ROHTAK-HARYANA,1357,28.7662,76.7802,SAMPLA ROHTAK-HARYANA,3405,22.824269,86.268545,18
PATIYALA-PUNJAB,1904,30.3699,76.4745,PATIYALA-PUNJAB,1104,31.4966,75.8345,11
LUCKNOW-UTTAR PRADESH,1801,26.779122,80.897926,LUCKNOW-UTTAR PRADESH,1602,26.4478,80.2487,10
VIJAYWADA,1609,16.506,80.7025,VIJAYWADA,1609,16.506,80.7025,39
PATIYALA-PUNJAB,1904,30.3699,76.4745,PATIYALA-PUNJAB,1920,30.8864,75.9923,2
RASYANI-RAIGAD,2125,18.9542,73.1682,RASYANI-RAIGAD,809,22.5614951,88.1767703,1
LUDHIANA HUB,1920,30.8864,75.9923,LUDHIANA HUB,1901,30.8772,75.9122,6
TIKRI BORDER-DELHI,1307,28.6831148,76.9606879,TIKRI BORDER-DELHI,1357,28.7662,76.7802,1
JAIPUR-RAJASTHAN,1701,26.865057,75.680062,JAIPUR-RAJASTHAN,1801,26.779122,80.897926,3
HINJEWADI - PUNE - MAHARASTRA,2816,18.6078,73.7238,HINJEWADI - PUNE - MAHARASTRA,1001,12.8975285,79.883473,6
PUNE MAVAL-MAHARASTRA,2833,18.751795,73.606048,PUNE MAVAL-MAHARASTRA,403,21.7059,72.5834,6
JAIPUR-RAJASTHAN,1701,26.865057,75.680062,JAIPUR-RAJASTHAN,1602,26.4478,80.2487,2
DADRI-UTTAR PRADESH,1352,28.5432697,77.5631391,DADRI-UTTAR PRADESH,1310,28.5463933,77.4097224,1
NASIK-MAHARASTRA,2401,20.0052,73.7379,NASIK-MAHARASTRA,3301,29.01588,79.4086,8
CHENNAI SVCHATRAM-TAMILNADU,1001,12.8975285,79.883473,CHENNAI SVCHATRAM-TAMILNADU,809,22.5614951,88.1767703,5
GUWAHATI-ASSAM,802,26.1106477,91.7305034,GUWAHATI-ASSAM,834,27.4853686,95.3692561,6
CHERLAPALLY-TELANGANA,1611,17.459,78.5992,CHERLAPALLY-TELANGANA,1202,20.324471,72.904855,3
GREATER NOIDA-UTTAR PRADESH,1312,28.448128,77.530355,GREATER NOIDA-UTTAR PRADESH,511,13.2444,77.229,7
BARODA-GUJARAT,601,22.3532,73.2346,BARODA-GUJARAT,1318,28.4875,77.063,4
TIKRI BORDER-DELHI,1307,28.6831148,76.9606879,TIKRI BORDER-DELHI,1101,30.696281,76.794154,4
CHERLAPALLY-TELANGANA,1611,17.459,78.5992,CHERLAPALLY-TELANGANA,1614,16.2734,80.4251,3
BAGHOLA-HUB HARYANA,1338,28.201997,77.320682,BAGHOLA-HUB HARYANA,301,22.8584141,72.3796371,4
DHARWAD-KARNATAKA,523,15.5081624,74.9123756,DHARWAD-KARNATAKA,523,15.5081624,74.9123756,4
DUNLOP KOLKATA-WEST BANGAL,813,22.6528,88.3741,DUNLOP KOLKATA-WEST BANGAL,3405,22.824269,86.268545,2
CHAKAN - PUNE - MAHARASTRA,2802,18.7004018,73.8489416,CHAKAN - PUNE - MAHARASTRA,3001,11.6017,78.0921,1
SILVASSA-GUJARAT,1203,20.2951,72.9909,SILVASSA-GUJARAT,208,19.12303,77.344629,39
VASHI MUMBAI-MAHARASTRA,2107,19.0791,73.0114,VASHI MUMBAI-MAHARASTRA,3001,11.6017,78.0921,2
LUCKNOW-UTTAR PRADESH,1801,26.779122,80.897926,LUCKNOW-UTTAR PRADESH,3501,22.8366327,75.9450594,1
BELGAUM-KARNATAKA,506,15.8523557,74.5354957,BELGAUM-KARNATAKA,319,22.9731286,72.2752609,1
KOLHAPUR-MAHARASTRA,3101,16.7575,74.2777,KOLHAPUR-MAHARASTRA,2108,19.0973,72.8456,3
SATARA - PUNE - MAHARASTRA,2825,17.6784726,74.0270376,SATARA - PUNE - MAHARASTRA,525,13.1314,77.9763,27
RASYANI-RAIGAD,2125,18.9542,73.1682,RASYANI-RAIGAD,504,13.2431695,77.2304165,2
ROORKEE UTTARANCHAL-UTTRAKHAND,4003,29.921192,77.829423,ROORKEE UTTARANCHAL-UTTRAKHAND,4105,21.4954,83.9664,1
MITROL PALWAL-HARYANA,1344,28.0463739,77.3416418,MITROL PALWAL-HARYANA,1301,28.5283,77.2786,2
NASIK-MAHARASTRA,2401,20.0052,73.7379,NASIK-MAHARASTRA,1315,28.6923,77.4409,1
CALICUT-KERLA,3011,11.1716194,75.9278162,CALICUT-KERLA,1609,16.506,80.7025,1
SANAND  AHMEDABAD-GUJARAT,319,22.9731286,72.2752609,SANAND  AHMEDABAD-GUJARAT,903,8.77265,77.710253,1
BINOLA HUB-HARYANA,1328,28.3106646,76.8781538,BINOLA HUB-HARYANA,1709,26.2292,73.0069,2
GREATER NOIDA-UTTAR PRADESH,1312,28.448128,77.530355,GREATER NOIDA-UTTAR PRADESH,1712,28.11664,76.78661,1
DEHRADUN-UTTRAKHAND,4001,30.28199,77.98948,DEHRADUN-UTTRAKHAND,1329,28.781486,77.137516,2
COCHIN-KERLA,3003,10.125558,76.3234073,COCHIN-KERLA,301,22.8584141,72.3796371,4
JAMALPUR-HARYANA,1342,28.3782,76.8352,JAMALPUR-HARYANA,1905,32.640433,74.901404,17
CUTTACK-ORRISA,4107,20.5333,85.9527,CUTTACK-ORRISA,1602,26.4478,80.2487,6
RAJKOT-GUJARAT,2902,22.3265,70.8541,RAJKOT-GUJARAT,3402,23.3068613,85.3985532,3
NAGPUR WADI,2501,21.133502,78.8936551,NAGPUR WADI,901,11.0746,77.1115,1
DHANBAD-JHARKHAND,3408,23.852018,86.42661,DHANBAD-JHARKHAND,2205,29.9652,78.076,1
PARWANOO-H P,102,30.839,76.95605,PARWANOO-H P,1343,28.6778,77.3264,1
NASIK-MAHARASTRA,2401,20.0052,73.7379,NASIK-MAHARASTRA,301,22.8584141,72.3796371,1
KESHWANA RAJASTHAN,1721,27.8091,76.2424,KESHWANA RAJASTHAN,1318,28.4875,77.063,1
BAREILLY-UTTAR PRADESH,2206,28.3764,79.3922,BAREILLY-UTTAR PRADESH,2206,28.3764,79.3922,12
ROORKEE UTTARANCHAL-UTTRAKHAND,4003,29.921192,77.829423,ROORKEE UTTARANCHAL-UTTRAKHAND,3002,10.8127191,78.7209493,1
DEWAS-MADHYA PRADESH,3508,22.9703,76.1229,DEWAS-MADHYA PRADESH,305,22.4159309,70.0587628,1
PUZHAL CHENNAI-TAMILNADU,1002,13.156826,80.222013,PUZHAL CHENNAI-TAMILNADU,301,22.8584141,72.3796371,1
RAIPUR,2502,21.2570484,81.5552005,RAIPUR,1315,28.6923,77.4409,1
SAVLI - BARODA,608,22.4334,73.1909,SAVLI - BARODA,324,23.3890858,72.0463614,3
MUMBAI HUB-MAHARASTRA,2117,19.2924351,73.1082178,MUMBAI HUB-MAHARASTRA,2701,11.945999,79.7779715,4
MUMBAI HUB-MAHARASTRA,2117,19.2924351,73.1082178,MUMBAI HUB-MAHARASTRA,3007,11.4044,77.6691,3
AURANGABAD WALUJ-MAHARASTRA,201,19.8087351,75.2382142,AURANGABAD WALUJ-MAHARASTRA,3502,23.1662722,77.5090901,2
DHARUHERA-HARYANA,1401,28.2191813,76.7966441,DHARUHERA-HARYANA,1304,28.6739,77.1415,1
SAKINAKA MUMBAI-MAHARASTRA,2110,19.096,72.888,SAKINAKA MUMBAI-MAHARASTRA,2801,18.5738,73.959,2
HOSUR-TAMILNADU,505,12.725908,77.794993,HOSUR-TAMILNADU,2802,18.7004018,73.8489416,1
JAMALPUR-HARYANA,1342,28.3782,76.8352,JAMALPUR-HARYANA,4002,25.5784288,85.2193768,4
KULANA-HARYANA,1403,28.4204,76.658,KULANA-HARYANA,2802,18.7004018,73.8489416,2
VAPI-GUJARAT,1202,20.324471,72.904855,VAPI-GUJARAT,4003,29.921192,77.829423,1
CHERLAPALLY-TELANGANA,1611,17.459,78.5992,CHERLAPALLY-TELANGANA,2122,18.9321187,73.017467,2
CUTTACK-ORRISA,4107,20.5333,85.9527,CUTTACK-ORRISA,812,23.550534,87.269088,1
TIKRI BORDER-DELHI,1307,28.6831148,76.9606879,TIKRI BORDER-DELHI,1001,12.8975285,79.883473,13
BANGLORE HUB-KARNATAKA,511,13.2444,77.229,BANGLORE HUB-KARNATAKA,509,13.2446,77.553,1
RUDRAPUR-UTTRAKHAND,3301,29.01588,79.4086,RUDRAPUR-UTTRAKHAND,2201,28.8012063,78.7622144,1
RASYANI-RAIGAD,2125,18.9542,73.1682,RASYANI-RAIGAD,803,22.6484768,88.4357884,1
BELGAUM-KARNATAKA,506,15.8523557,74.5354957,BELGAUM-KARNATAKA,1501,15.3635,73.9486,5
JAMSHEDPUR-JHARKHAND,3405,22.824269,86.268545,JAMSHEDPUR-JHARKHAND,2601,22.6272376,75.581131,2
JAMALPUR-HARYANA,1342,28.3782,76.8352,JAMALPUR-HARYANA,1101,30.696281,76.794154,1
MUMBAI HUB-MAHARASTRA,2117,19.2924351,73.1082178,MUMBAI HUB-MAHARASTRA,2120,19.266721,72.87356,1
AHMEDABAD AIRPORT,328,23.0844981,72.6224928,AHMEDABAD AIRPORT,301,22.8584141,72.3796371,2
FARIDABAD-HARYANA,1308,28.4509963,77.3193081,FARIDABAD-HARYANA,2803,18.803941,74.311907,2
DADRI-UTTAR PRADESH,1352,28.5432697,77.5631391,DADRI-UTTAR PRADESH,802,26.1106477,91.7305034,2
SINNAR NASIK-MAHARASTRA,2403,19.885725,73.976382,SINNAR NASIK-MAHARASTRA,2823,18.7519792,73.794638,3
BANGLORE HUB-KARNATAKA,511,13.2444,77.229,BANGLORE HUB-KARNATAKA,1342,28.3782,76.8352,1
M M NAGAR CHENNAI-TAMILNADU,1007,12.7853427,80.0395548,M M NAGAR CHENNAI-TAMILNADU,2115,19.2060096,72.9502528,1
VAPI-GUJARAT,1202,20.324471,72.904855,VAPI-GUJARAT,808,22.5741742,88.3365316,1
RAJKOT-GUJARAT,2902,22.3265,70.8541,RAJKOT-GUJARAT,839,23.2229089,87.8494907,1
RANJANGAON - PUNE - MAHARASTRA,2803,18.803941,74.311907,RANJANGAON - PUNE - MAHARASTRA,2115,19.2060096,72.9502528,2
SURAJPUR G.NOIDA,1370,28.5315089,77.4687343,SURAJPUR G.NOIDA,304,22.9811,72.4898,1
DADRI-UTTAR PRADESH,1352,28.5432697,77.5631391,DADRI-UTTAR PRADESH,2401,20.0052,73.7379,1
DEHRADUN-UTTRAKHAND,4001,30.28199,77.98948,DEHRADUN-UTTRAKHAND,4004,30.368611,77.853084,2
MAPUSA-GOA,1503,15.6102,73.8235,MAPUSA-GOA,1501,15.3635,73.9486,1
BINOLA HUB-HARYANA,1328,28.3106646,76.8781538,BINOLA HUB-HARYANA,507,12.955766,77.588642,1
GHAZIABAD-UTTAR PRADESH,1315,28.6923,77.4409,GHAZIABAD-UTTAR PRADESH,1601,17.6103329,78.5213145,1
SHOLAVARAM CHENNAI,1003,13.2316,80.1633,SHOLAVARAM CHENNAI,2125,18.9542,73.1682,1
RASYANI-RAIGAD,2125,18.9542,73.1682,RASYANI-RAIGAD,505,12.725908,77.794993,1
MAHALUNGE NEW WH TRANSSHIPMENT,2856,18.737321,73.797702,MAHALUNGE NEW WH TRANSSHIPMENT,1364,28.4546,76.8529,2
ADITYAPUR-JHARKHAND,3409,22.8047583,86.1181322,ADITYAPUR-JHARKHAND,2301,12.3445,76.5912,1
KALA AMB-HIMACHAL PRADESH,1106,30.5043925,77.2083046,KALA AMB-HIMACHAL PRADESH,1101,30.696281,76.794154,1
JAMSHEDPUR-JHARKHAND,3405,22.824269,86.268545,JAMSHEDPUR-JHARKHAND,1308,28.4509963,77.3193081,2
NOIDA I-UTTAR PRADESH,1310,28.5463933,77.4097224,NOIDA I-UTTAR PRADESH,1201,20.402885,72.8870348,1
NARSAPURA-KARNATAKA,525,13.1314,77.9763,NARSAPURA-KARNATAKA,809,22.5614951,88.1767703,1
NOIDA I-UTTAR PRADESH,1310,28.5463933,77.4097224,NOIDA I-UTTAR PRADESH,808,22.5741742,88.3365316,1
JAMALPUR-HARYANA,1342,28.3782,76.8352,JAMALPUR-HARYANA,1003,13.2316,80.1633,39
VAPI-GUJARAT,1202,20.324471,72.904855,VAPI-GUJARAT,1328,28.3106646,76.8781538,101
BANGLORE HUB-KARNATAKA,511,13.2444,77.229,BANGLORE HUB-KARNATAKA,3001,11.6017,78.0921,8
CHAKAN - PUNE - MAHARASTRA,2802,18.7004018,73.8489416,CHAKAN - PUNE - MAHARASTRA,2501,21.133502,78.8936551,20
AHMEDABAD-GUJARAT,301,22.8584141,72.3796371,AHMEDABAD-GUJARAT,2501,21.133502,78.8936551,76
SOLAPUR - PUNE - MAHARASTRA,2808,17.7278,75.839,SOLAPUR - PUNE - MAHARASTRA,2802,18.7004018,73.8489416,10
AMBALA HUB-HARYANA,103,30.23361,76.85074,AMBALA HUB-HARYANA,3301,29.01588,79.4086,10
RAJKOT-GUJARAT,2902,22.3265,70.8541,RAJKOT-GUJARAT,103,30.23361,76.85074,43
BAGHOLA-HUB HARYANA,1338,28.201997,77.320682,BAGHOLA-HUB HARYANA,3405,22.824269,86.268545,38
DAHEJ-GUJRAT,403,21.7059,72.5834,DAHEJ-GUJRAT,2803,18.803941,74.311907,4
DASNA AIRTEL GSM (UP WEST),6074,28.696324,77.598355,DASNA AIRTEL GSM (UP WEST),6074,28.696324,77.598355,244
MANESAR-HARYANA,1322,28.3775364,76.9388545,MANESAR-HARYANA,1905,32.640433,74.901404,28
RAIPUR,2502,21.2570484,81.5552005,RAIPUR,2401,20.0052,73.7379,2
BINOLA HUB-HARYANA,1328,28.3106646,76.8781538,BINOLA HUB-HARYANA,201,19.8087351,75.2382142,24
BARODA-GUJARAT,601,22.3532,73.2346,BARODA-GUJARAT,505,12.725908,77.794993,5
REWA-MADHYA PRADESH,3507,24.5203,81.2427,REWA-MADHYA PRADESH,1601,17.6103329,78.5213145,7
OKHLA-DELHI,1301,28.5283,77.2786,OKHLA-DELHI,504,13.2431695,77.2304165,2
ALLAHABAD-UTTAR PRADESH,1804,25.4550668,81.7627409,ALLAHABAD-UTTAR PRADESH,2802,18.7004018,73.8489416,3
SILIGURI-WEST BANGAL,811,26.6561622,88.4594269,SILIGURI-WEST BANGAL,838,22.5728,88.3571,2
KHUSKERA-RAJASTHAN,1712,28.11664,76.78661,KHUSKERA-RAJASTHAN,1309,28.862816,77.123806,3
GREATER NOIDA-UTTAR PRADESH,1312,28.448128,77.530355,GREATER NOIDA-UTTAR PRADESH,2825,17.6784726,74.0270376,1
CHAKAN - PUNE - MAHARASTRA,2802,18.7004018,73.8489416,CHAKAN - PUNE - MAHARASTRA,3501,22.8366327,75.9450594,4
KOLKATA-WEST BANGAL,801,22.519,88.3033,KOLKATA-WEST BANGAL,4002,25.5784288,85.2193768,12
DEHRADUN-UTTRAKHAND,4001,30.28199,77.98948,DEHRADUN-UTTRAKHAND,4001,30.28199,77.98948,38
VASHI MUMBAI-MAHARASTRA,2107,19.0791,73.0114,VASHI MUMBAI-MAHARASTRA,1318,28.4875,77.063,2
BAWAL-HARYANA,3010,28.0848576,76.5779613,BAWAL-HARYANA,1721,27.8091,76.2424,7
CHAKAN - PUNE - MAHARASTRA,2802,18.7004018,73.8489416,CHAKAN - PUNE - MAHARASTRA,3508,22.9703,76.1229,53
NASIK MANMAD-MAHARASTRA,204,20.264516,74.4440964,NASIK MANMAD-MAHARASTRA,201,19.8087351,75.2382142,7
NARSAPURA-KARNATAKA,525,13.1314,77.9763,NARSAPURA-KARNATAKA,3001,11.6017,78.0921,1
ROORKEE UTTARANCHAL-UTTRAKHAND,4003,29.921192,77.829423,ROORKEE UTTARANCHAL-UTTRAKHAND,1331,28.6672,77.2065,1
VAPI-GUJARAT,1202,20.324471,72.904855,VAPI-GUJARAT,1001,12.8975285,79.883473,4
JAIPUR-RAJASTHAN,1701,26.865057,75.680062,JAIPUR-RAJASTHAN,1308,28.4509963,77.3193081,4
NOIDA I-UTTAR PRADESH,1310,28.5463933,77.4097224,NOIDA I-UTTAR PRADESH,1303,28.5323,77.1102,4
KOLHAPUR-MAHARASTRA,3101,16.7575,74.2777,KOLHAPUR-MAHARASTRA,2501,21.133502,78.8936551,1
SHOLAVARAM CHENNAI,1003,13.2316,80.1633,SHOLAVARAM CHENNAI,1315,28.6923,77.4409,2
AGRA-UTTAR PRADESH,2202,27.217,77.9455,AGRA-UTTAR PRADESH,2213,27.8224399,77.4235528,4
BALASORE-ORRISA,4108,21.4397166,86.8472901,BALASORE-ORRISA,2117,19.2924351,73.1082178,1
JAIPUR-RAJASTHAN,1701,26.865057,75.680062,JAIPUR-RAJASTHAN,301,22.8584141,72.3796371,3
BANGLORE HUB-KARNATAKA,511,13.2444,77.229,BANGLORE HUB-KARNATAKA,1721,27.8091,76.2424,3
PALAM AIRPORT-DELHI,1303,28.5323,77.1102,PALAM AIRPORT-DELHI,3301,29.01588,79.4086,11
NOIDA II-UTTAR PRADESH,1311,28.590354,77.333131,NOIDA II-UTTAR PRADESH,504,13.2431695,77.2304165,1
SHOLAVARAM CHENNAI,1003,13.2316,80.1633,SHOLAVARAM CHENNAI,2816,18.6078,73.7238,12
GREATER NOIDA-UTTAR PRADESH,1312,28.448128,77.530355,GREATER NOIDA-UTTAR PRADESH,2502,21.2570484,81.5552005,4
BAWAL-HARYANA,3010,28.0848576,76.5779613,BAWAL-HARYANA,2501,21.133502,78.8936551,3
SULTANPUR HARYANA,1364,28.4546,76.8529,SULTANPUR HARYANA,1707,25.1305,75.8533,1
JAIPUR-RAJASTHAN,1701,26.865057,75.680062,JAIPUR-RAJASTHAN,1331,28.6672,77.2065,2
DAMAN-GUJARAT,1201,20.402885,72.8870348,DAMAN-GUJARAT,1901,30.8772,75.9122,1
VAPI-GUJARAT,1202,20.324471,72.904855,VAPI-GUJARAT,1101,30.696281,76.794154,1
JABALPUR M P-MADHYA PRADESH,3506,23.1980328,79.8745593,JABALPUR M P-MADHYA PRADESH,3506,23.1980328,79.8745593,3
MURTHAL-HARYANA,1349,29.0278,77.074,MURTHAL-HARYANA,2502,21.2570484,81.5552005,1
MUMBAI HUB-MAHARASTRA,2117,19.2924351,73.1082178,MUMBAI HUB-MAHARASTRA,319,22.9731286,72.2752609,1
KOTA-RAJASTHAN,1707,25.1305,75.8533,KOTA-RAJASTHAN,1344,28.0463739,77.3416418,1
SILVASSA-GUJARAT,1203,20.2951,72.9909,SILVASSA-GUJARAT,2817,18.6275,73.7525,1
GREATER NOIDA-UTTAR PRADESH,1312,28.448128,77.530355,GREATER NOIDA-UTTAR PRADESH,306,23.0612,70.1282,4
MUMBAI HUB-MAHARASTRA,2117,19.2924351,73.1082178,MUMBAI HUB-MAHARASTRA,308,23.2627058,69.9509695,1
BECHARAJI,329,23.510668,72.125282,BECHARAJI,301,22.8584141,72.3796371,1
