FROM_BRANCH,LORRY_ROUTE_FROM,FROM_LAT,FROM_LONG,TO_BRANCH,LORRY_ROUTE_TO,TO_LAT,TO_LONG,COUNT(*)
AURANGABAD WALUJ-MAHARASTRA,201,19.8087351,75.2382142,AURANGABAD WALUJ-MAHARASTRA,2701,11.945999,79.7779715,1
KUNDLI BORDER SONIPAT-HARYANA,1309,28.862816,77.123806,KUNDLI BORDER SONIPAT-HARYANA,1304,28.6739,77.1415,1
HARIDWAR-UTTRAKHAND,2205,29.9652,78.076,HARIDWAR-UTTRAKHAND,2122,18.9321187,73.017467,1
RANJANGAON - PUNE - MAHARASTRA,2803,18.803941,74.311907,RANJANGAON - PUNE - MAHARASTRA,2117,19.2924351,73.1082178,7
HYDERABAD-TELANGANA,1601,17.6103329,78.5213145,HYDERABAD-TELANGANA,808,22.5741742,88.3365316,2
SINNAR NASIK-MAHARASTRA,2403,19.885725,73.976382,SINNAR NASIK-MAHARASTRA,2833,18.751795,73.606048,2
KUNDLI BORDER SONIPAT-HARYANA,1309,28.862816,77.123806,KUNDLI BORDER SONIPAT-HARYANA,1108,31.671749,76.1182,16
DHULAGARH HUB KOLKATA-WEST BANGAL,809,22.5614951,88.1767703,DHULAGARH HUB KOLKATA-WEST BANGAL,1334,28.3962,76.993,1
SAMPLA ROHTAK-HARYANA,1357,28.7662,76.7802,SAMPLA ROHTAK-HARYANA,1003,13.2316,80.1633,7
CHENNAI SVCHATRAM-TAMILNADU,1001,12.8975285,79.883473,CHENNAI SVCHATRAM-TAMILNADU,319,22.9731286,72.2752609,2
FARIDABAD N I T-HARYANA,1340,28.3739,77.2988,FARIDABAD N I T-HARYANA,1202,20.324471,72.904855,2
BANGLORE HUB-KARNATAKA,511,13.2444,77.229,BANGLORE HUB-KARNATAKA,1327,28.3962,76.993,2
INDORE-MADHYA PRADESH,3501,22.8366327,75.9450594,INDORE-MADHYA PRADESH,2401,20.0052,73.7379,1
HUBLI-KARNATAKA,1802,15.29472,75.147747,HUBLI-KARNATAKA,2104,19.4030055,72.8478575,2
COCHIN-KERLA,3003,10.125558,76.3234073,COCHIN-KERLA,1001,12.8975285,79.883473,30
GGN HERO HONDA-HARYANA,1327,28.3962,76.993,GGN HERO HONDA-HARYANA,1103,30.9570241,76.8249571,3
CORPORATE OFFICE-DELHI,1306,28.677483,77.1419,CORPORATE OFFICE-DELHI,2501,21.133502,78.8936551,1
FARIDABAD-HARYANA,1308,28.4509963,77.3193081,FARIDABAD-HARYANA,3503,26.3392,78.2826,2
HARIDWAR-UTTRAKHAND,2205,29.9652,78.076,HARIDWAR-UTTRAKHAND,533,16.8433,75.7383,1
BHOPAL-MADHYA PRADESH,3502,23.1662722,77.5090901,BHOPAL-MADHYA PRADESH,3507,24.5203,81.2427,3
HOSUR-TAMILNADU,505,12.725908,77.794993,HOSUR-TAMILNADU,2117,19.2924351,73.1082178,2
PALAM AIRPORT-DELHI,1303,28.5323,77.1102,PALAM AIRPORT-DELHI,1308,28.4509963,77.3193081,1
BHOPAL-MADHYA PRADESH,3502,23.1662722,77.5090901,BHOPAL-MADHYA PRADESH,1315,28.6923,77.4409,1
NAGPUR WADI,2501,21.133502,78.8936551,NAGPUR WADI,1901,30.8772,75.9122,1
KHUSKERA-RAJASTHAN,1712,28.11664,76.78661,KHUSKERA-RAJASTHAN,1017,13.245269,79.117715,1
TRICHY-TAMILNADU,3002,10.8127191,78.7209493,TRICHY-TAMILNADU,3001,11.6017,78.0921,5
NASIK MANMAD-MAHARASTRA,204,20.264516,74.4440964,NASIK MANMAD-MAHARASTRA,301,22.8584141,72.3796371,1
PITHAMPUR-MADHYA PRADESH,2601,22.6272376,75.581131,PITHAMPUR-MADHYA PRADESH,1306,28.677483,77.1419,3
BHOPAL-MADHYA PRADESH,3502,23.1662722,77.5090901,BHOPAL-MADHYA PRADESH,2601,22.6272376,75.581131,1
PONDICHERY-TAMILNADU,2701,11.945999,79.7779715,PONDICHERY-TAMILNADU,2701,11.945999,79.7779715,7
DUNLOP KOLKATA-WEST BANGAL,813,22.6528,88.3741,DUNLOP KOLKATA-WEST BANGAL,821,23.8415917,91.3116745,1
TALOJA MUMBAI-MAHARASTRA,2112,19.0687,73.1369,TALOJA MUMBAI-MAHARASTRA,204,20.264516,74.4440964,5
DODDABALLAPUR-KARNATAKA,509,13.2446,77.553,DODDABALLAPUR-KARNATAKA,1103,30.9570241,76.8249571,6
RASYANI-RAIGAD,2125,18.9542,73.1682,RASYANI-RAIGAD,2401,20.0052,73.7379,1
AHMD RAIL-GUJARAT,310,22.9728316,72.6275756,AHMD RAIL-GUJARAT,1901,30.8772,75.9122,1
HARIDWAR-UTTRAKHAND,2205,29.9652,78.076,HARIDWAR-UTTRAKHAND,102,30.839,76.95605,1
GREATER NOIDA-UTTAR PRADESH,1312,28.448128,77.530355,GREATER NOIDA-UTTAR PRADESH,3502,23.1662722,77.5090901,3
HYDERABAD-TELANGANA,1601,17.6103329,78.5213145,HYDERABAD-TELANGANA,2205,29.9652,78.076,1
BOMMANSANDRA-KARNATAKA,503,12.8178324,77.6698024,BOMMANSANDRA-KARNATAKA,1322,28.3775364,76.9388545,1
ANAND-GUJARAT,312,22.536222,72.928616,ANAND-GUJARAT,1309,28.862816,77.123806,1
RASYANI-RAIGAD,2125,18.9542,73.1682,RASYANI-RAIGAD,4001,30.28199,77.98948,1
ANKLESHWAR-GUJARAT,401,21.6299448,73.0194181,ANKLESHWAR-GUJARAT,802,26.1106477,91.7305034,1
CHAKAN - PUNE - MAHARASTRA,2802,18.7004018,73.8489416,CHAKAN - PUNE - MAHARASTRA,1808,26.905539,81.05155,1
AHMD RAIL-GUJARAT,310,22.9728316,72.6275756,AHMD RAIL-GUJARAT,801,22.519,88.3033,1
TRICHY-TAMILNADU,3002,10.8127191,78.7209493,TRICHY-TAMILNADU,903,8.77265,77.710253,5
GREATER NOIDA-UTTAR PRADESH,1312,28.448128,77.530355,GREATER NOIDA-UTTAR PRADESH,3408,23.852018,86.42661,1
HARIDWAR-UTTRAKHAND,2205,29.9652,78.076,HARIDWAR-UTTRAKHAND,814,22.7361595,88.2732544,1
NASIK-MAHARASTRA,2401,20.0052,73.7379,NASIK-MAHARASTRA,2803,18.803941,74.311907,3
HAPUR U P,1363,28.722645,77.734033,HAPUR U P,809,22.5614951,88.1767703,1
JAIPUR-RAJASTHAN,1701,26.865057,75.680062,JAIPUR-RAJASTHAN,505,12.725908,77.794993,1
MUMBAI AIRPORT-MAHARASTRA,2108,19.0973,72.8456,MUMBAI AIRPORT-MAHARASTRA,2121,18.9545,72.8393,1
